order_item_id,order_id,product_id,quantity,unit_price,subtotal
OI0001,O0001,P002,1,12,12
OI0002,O0002,P001,2,8.5,17
OI0003,O0002,P006,1,14,14
OI0004,O0003,P007,1,16.5,16.5
OI0005,O0004,P004,1,14.5,14.5
OI0006,O0004,P002,1,12,12
OI0007,O0005,P003,2,13,26
OI0008,O0006,P001,1,8.5,8.5
OI0009,O0006,P003,1,13,13
OI0010,O0007,P008,1,11,11
OI0011,O0007,P005,3,12.5,37.5
OI0012,O0007,P012,2,9,18
OI0013,O0007,P009,2,16,32
OI0014,O0008,P011,3,12.5,37.5
OI0015,O0008,P006,2,14,28
OI0016,O0008,P004,1,14.5,14.5
OI0017,O0009,P002,3,12,36
OI0018,O0009,P012,3,9,27
OI0019,O0010,P009,3,16,48
OI0020,O0011,P015,2,5.5,11
OI0021,O0012,P011,1,12.5,12.5
OI0022,O0013,P007,1,16.5,16.5
OI0023,O0013,P001,3,8.5,25.5
OI0024,O0014,P001,1,8.5,8.5
OI0025,O0014,P011,1,12.5,12.5
OI0026,O0015,P002,1,12,12
OI0027,O0015,P004,1,14.5,14.5
OI0028,O0015,P001,1,8.5,8.5
OI0029,O0016,P001,1,8.5,8.5
OI0030,O0016,P010,2,15,30
OI0031,O0017,P001,1,8.5,8.5
OI0032,O0017,P002,1,12,12
OI0033,O0018,P014,1,6.5,6.5
OI0034,O0019,P004,1,14.5,14.5
OI0035,O0020,P001,3,8.5,25.5
OI0036,O0021,P011,2,12.5,25
OI0037,O0021,P012,1,9,9
OI0038,O0021,P001,1,8.5,8.5
OI0039,O0022,P002,1,12,12
OI0040,O0022,P006,2,14,28
OI0041,O0022,P013,1,17,17
OI0042,O0023,P001,1,8.5,8.5
OI0043,O0023,P004,2,14.5,29
OI0044,O0024,P001,1,8.5,8.5
OI0045,O0024,P005,1,12.5,12.5
OI0046,O0025,P003,1,13,13
OI0047,O0025,P014,1,6.5,6.5
OI0048,O0026,P006,4,14,56
OI0049,O0026,P012,1,9,9
OI0050,O0026,P002,1,12,12
OI0051,O0027,P013,4,17,68
OI0052,O0027,P009,1,16,16
OI0053,O0027,P002,4,12,48
OI0054,O0028,P002,1,12,12
OI0055,O0028,P009,1,16,16
OI0056,O0029,P014,2,6.5,13
OI0057,O0029,P003,2,13,26
OI0058,O0029,P001,1,8.5,8.5
OI0059,O0030,P015,2,5.5,11
OI0060,O0030,P009,1,16,16
OI0061,O0031,P008,1,11,11
OI0062,O0031,P006,2,14,28
OI0063,O0031,P005,1,12.5,12.5
OI0064,O0032,P001,1,8.5,8.5
OI0065,O0033,P004,2,14.5,29
OI0066,O0033,P010,1,15,15
OI0067,O0034,P013,1,17,17
OI0068,O0034,P001,1,8.5,8.5
OI0069,O0034,P012,1,9,9
OI0070,O0035,P004,1,14.5,14.5
OI0071,O0035,P001,1,8.5,8.5
OI0072,O0035,P006,4,14,56
OI0073,O0035,P009,1,16,16
OI0074,O0036,P003,1,13,13
OI0075,O0037,P014,1,6.5,6.5
OI0076,O0038,P002,3,12,36
OI0077,O0039,P011,1,12.5,12.5
OI0078,O0039,P008,1,11,11
OI0079,O0039,P013,1,17,17
OI0080,O0040,P004,1,14.5,14.5
OI0081,O0040,P006,1,14,14
OI0082,O0041,P004,1,14.5,14.5
OI0083,O0042,P002,1,12,12
OI0084,O0042,P004,2,14.5,29
OI0085,O0043,P003,1,13,13
OI0086,O0043,P006,1,14,14
OI0087,O0044,P002,1,12,12
OI0088,O0045,P002,1,12,12
OI0089,O0045,P010,1,15,15
OI0090,O0046,P009,1,16,16
OI0091,O0046,P005,3,12.5,37.5
OI0092,O0047,P010,1,15,15
OI0093,O0048,P003,2,13,26
OI0094,O0048,P010,1,15,15
OI0095,O0049,P012,2,9,18
OI0096,O0050,P004,1,14.5,14.5
OI0097,O0050,P012,3,9,27
OI0098,O0051,P001,1,8.5,8.5
OI0099,O0051,P007,1,16.5,16.5
OI0100,O0052,P003,1,13,13
OI0101,O0052,P002,1,12,12
OI0102,O0053,P012,1,9,9
OI0103,O0053,P001,2,8.5,17
OI0104,O0054,P007,2,16.5,33
OI0105,O0054,P001,1,8.5,8.5
OI0106,O0055,P012,1,9,9
OI0107,O0056,P004,1,14.5,14.5
OI0108,O0056,P001,2,8.5,17
OI0109,O0057,P009,3,16,48
OI0110,O0058,P008,3,11,33
OI0111,O0059,P010,1,15,15
OI0112,O0059,P001,1,8.5,8.5
OI0113,O0059,P007,1,16.5,16.5
OI0114,O0060,P006,1,14,14
OI0115,O0061,P008,2,11,22
OI0116,O0061,P014,1,6.5,6.5
OI0117,O0061,P003,1,13,13
OI0118,O0061,P006,1,14,14
OI0119,O0062,P012,1,9,9
OI0120,O0063,P004,1,14.5,14.5
OI0121,O0063,P008,1,11,11
OI0122,O0063,P009,3,16,48
OI0123,O0063,P005,1,12.5,12.5
OI0124,O0064,P012,2,9,18
OI0125,O0064,P003,1,13,13
OI0126,O0064,P011,4,12.5,50
OI0127,O0064,P004,1,14.5,14.5
OI0128,O0065,P007,2,16.5,33
OI0129,O0065,P002,1,12,12
OI0130,O0065,P010,2,15,30
OI0131,O0065,P006,3,14,42
OI0132,O0066,P006,3,14,42
OI0133,O0067,P001,2,8.5,17
OI0134,O0067,P013,2,17,34
OI0135,O0067,P008,2,11,22
OI0136,O0067,P004,1,14.5,14.5
OI0137,O0068,P003,1,13,13
OI0138,O0068,P002,1,12,12
OI0139,O0069,P012,1,9,9
