order_id,customer_id,order_date,status,total
O0001,C002,2026-06-09 08:50:00,completed,12
O0002,C034,2026-06-10 14:50:00,completed,31
O0003,C001,2026-06-11 09:20:00,completed,16.5
O0004,C021,2026-06-12 08:20:00,completed,26.5
O0005,C039,2026-06-13 11:10:00,completed,26
O0006,C001,2026-06-13 16:10:00,completed,21.5
O0007,C004,2026-06-13 18:10:00,completed,98.5
O0008,C016,2026-06-14 15:30:00,completed,80
O0009,C031,2026-06-15 09:15:00,completed,63
O0010,C029,2026-06-15 17:40:00,completed,48
O0011,C035,2026-06-16 16:40:00,completed,11
O0012,C039,2026-06-17 10:50:00,completed,12.5
O0013,C030,2026-06-18 19:10:00,completed,42
O0014,C004,2026-06-19 11:55:00,completed,21
O0015,C026,2026-06-20 07:05:00,completed,35
O0016,C037,2026-06-20 13:55:00,completed,38.5
O0017,C006,2026-06-20 14:35:00,completed,20.5
O0018,C004,2026-06-21 19:25:00,cancelled,6.5
O0019,C016,2026-06-22 18:10:00,completed,14.5
O0020,C033,2026-06-23 15:05:00,completed,25.5
O0021,C030,2026-06-24 13:30:00,cancelled,42.5
O0022,C030,2026-06-25 08:15:00,completed,57
O0023,C012,2026-06-26 10:15:00,completed,37.5
O0024,C020,2026-06-26 11:40:00,completed,21
O0025,C020,2026-06-27 09:50:00,completed,19.5
O0026,C009,2026-06-27 12:55:00,completed,77
O0027,C012,2026-06-27 13:30:00,completed,132
O0028,C014,2026-06-27 19:40:00,completed,28
O0029,C011,2026-06-28 17:05:00,completed,47.5
O0030,C031,2026-06-29 08:05:00,completed,27
O0031,C012,2026-06-29 18:25:00,completed,51.5
O0032,C004,2026-06-29 20:45:00,completed,8.5
O0033,C014,2026-06-30 18:05:00,completed,44
O0034,C013,2026-07-01 08:50:00,completed,34.5
O0035,C016,2026-07-02 11:30:00,completed,95
O0036,C030,2026-07-03 08:50:00,completed,13
O0037,C032,2026-07-03 16:20:00,cancelled,6.5
O0038,C015,2026-07-03 19:30:00,completed,36
O0039,C007,2026-07-04 10:40:00,completed,40.5
O0040,C027,2026-07-05 12:25:00,completed,28.5
O0041,C005,2026-07-05 15:05:00,completed,14.5
O0042,C021,2026-07-06 08:25:00,completed,41
O0043,C032,2026-07-06 12:45:00,completed,27
O0044,C004,2026-07-07 14:55:00,completed,12
O0045,C013,2026-07-08 14:35:00,completed,27
O0046,C009,2026-07-08 16:20:00,completed,53.5
O0047,C022,2026-07-09 12:40:00,completed,15
O0048,C001,2026-07-10 07:05:00,completed,41
O0049,C030,2026-07-10 14:20:00,completed,18
O0050,C021,2026-07-11 14:05:00,completed,41.5
O0051,C002,2026-07-11 17:45:00,completed,25
O0052,C005,2026-07-12 10:50:00,completed,25
O0053,C016,2026-07-13 17:45:00,completed,26
O0054,C029,2026-07-14 13:00:00,completed,41.5
O0055,C031,2026-07-15 09:10:00,completed,9
O0056,C034,2026-07-16 07:30:00,completed,31.5
O0057,C030,2026-07-17 07:00:00,completed,48
O0058,C006,2026-07-17 08:40:00,completed,33
O0059,C028,2026-07-18 14:55:00,completed,40
O0060,C030,2026-07-18 18:45:00,cancelled,14
O0061,C019,2026-07-19 10:15:00,completed,55.5
O0062,C005,2026-07-19 13:10:00,completed,9
O0063,C024,2026-07-20 13:35:00,completed,86
O0064,C034,2026-07-21 09:30:00,completed,95.5
O0065,C017,2026-07-21 18:30:00,completed,117
O0066,C002,2026-07-22 10:15:00,completed,42
O0067,C007,2026-07-23 07:45:00,completed,87.5
O0068,C007,2026-07-23 13:00:00,completed,25
O0069,C018,2026-07-23 13:30:00,completed,9
O0070,C040,2026-07-23 15:30:00,completed,9
O0071,C020,2026-07-23 15:35:00,completed,84.5
O0072,C034,2026-07-24 11:20:00,completed,112
O0073,C004,2026-07-24 18:40:00,completed,16
O0074,C007,2026-07-25 09:20:00,completed,114
O0075,C037,2026-07-26 19:55:00,completed,44.5
O0076,C024,2026-07-27 14:25:00,completed,37
O0077,C039,2026-07-28 09:15:00,completed,36
O0078,C016,2026-07-28 15:40:00,completed,51.5
O0079,C035,2026-07-29 14:40:00,completed,68.5
O0080,C025,2026-07-30 07:30:00,completed,13
O0081,C040,2026-07-30 10:30:00,cancelled,42.5
O0082,C005,2026-07-31 11:15:00,completed,125
O0083,C009,2026-08-01 07:20:00,completed,11
O0084,C009,2026-08-02 09:05:00,completed,16.5
O0085,C036,2026-08-02 18:40:00,completed,20.5
O0086,C028,2026-08-03 07:35:00,completed,8.5
O0087,C016,2026-08-03 08:00:00,completed,56
O0088,C021,2026-08-04 14:15:00,completed,39
O0089,C007,2026-08-04 14:25:00,completed,32.5
O0090,C029,2026-08-04 19:40:00,completed,48
O0091,C037,2026-08-05 07:10:00,completed,14.5
O0092,C015,2026-08-05 14:20:00,completed,37.5
O0093,C039,2026-08-05 17:00:00,completed,37.5
O0094,C010,2026-08-06 07:20:00,completed,21.5
O0095,C038,2026-08-07 07:55:00,completed,21
O0096,C009,2026-08-07 09:15:00,completed,73
O0097,C021,2026-08-07 14:35:00,completed,39.5
O0098,C030,2026-08-07 15:35:00,completed,12
O0099,C023,2026-08-07 20:10:00,completed,17
O0100,C016,2026-08-08 08:00:00,completed,9
O0101,C027,2026-08-08 10:30:00,completed,25.5
O0102,C007,2026-08-08 17:35:00,completed,39.5
O0103,C006,2026-08-09 08:40:00,completed,32.5
O0104,C003,2026-08-09 14:35:00,completed,74.5
O0105,C002,2026-08-09 15:10:00,completed,57.5
O0106,C009,2026-08-10 08:35:00,completed,48
O0107,C024,2026-08-10 09:30:00,completed,66.5
O0108,C030,2026-08-11 07:25:00,completed,69.5
O0109,C016,2026-08-11 08:45:00,completed,62.5
O0110,C028,2026-08-12 15:35:00,completed,64.5
O0111,C020,2026-08-12 18:50:00,completed,15
O0112,C014,2026-08-13 11:35:00,completed,31.5
O0113,C022,2026-08-14 10:05:00,cancelled,32
O0114,C026,2026-08-14 14:10:00,completed,64.5
O0115,C022,2026-08-15 13:25:00,completed,25
O0116,C040,2026-08-15 13:45:00,completed,43.5
O0117,C007,2026-08-15 19:50:00,completed,13
O0118,C034,2026-08-16 07:50:00,completed,16
O0119,C020,2026-08-16 08:05:00,completed,52.5
O0120,C034,2026-08-17 11:20:00,completed,34.5
O0121,C004,2026-08-17 15:20:00,completed,88.5
O0122,C035,2026-08-17 20:00:00,completed,46
O0123,C011,2026-08-18 09:55:00,completed,33.5
O0124,C022,2026-08-18 10:45:00,completed,21
O0125,C010,2026-08-19 08:50:00,completed,24.5
O0126,C022,2026-08-19 11:45:00,completed,44.5
O0127,C003,2026-08-20 08:00:00,completed,68
O0128,C029,2026-08-20 16:10:00,cancelled,30
O0129,C030,2026-08-20 17:05:00,completed,69
