payment_id,order_id,amount,payment_method,payment_status,paid_at
PAY0001,O0001,12,Yape,paid,2026-06-09 08:54:00
PAY0002,O0002,31,Plin,paid,2026-06-10 15:01:00
PAY0003,O0003,16.5,Tarjeta,paid,2026-06-11 09:25:00
PAY0004,O0004,26.5,Tarjeta,paid,2026-06-12 08:32:00
PAY0005,O0005,26,Tarjeta,paid,2026-06-13 11:22:00
PAY0006,O0006,21.5,Yape,paid,2026-06-13 16:22:00
PAY0007,O0007,98.5,Yape,paid,2026-06-13 18:18:00
PAY0008,O0008,80,Tarjeta,paid,2026-06-14 15:32:00
PAY0009,O0009,63,Efectivo,paid,2026-06-15 09:20:00
PAY0010,O0010,48,Tarjeta,paid,2026-06-15 17:45:00
PAY0011,O0011,11,Efectivo,paid,2026-06-16 16:42:00
PAY0012,O0012,12.5,Yape,paid,2026-06-17 10:52:00
PAY0013,O0013,42,Efectivo,paid,2026-06-18 19:11:00
PAY0014,O0014,21,Yape,paid,2026-06-19 11:56:00
PAY0015,O0015,35,Tarjeta,paid,2026-06-20 07:13:00
PAY0016,O0016,38.5,Efectivo,paid,2026-06-20 14:00:00
PAY0017,O0017,20.5,Yape,paid,2026-06-20 14:40:00
PAY0018,O0018,6.5,Plin,refunded,2026-06-21 22:58:00
PAY0019,O0019,14.5,Efectivo,paid,2026-06-22 18:13:00
PAY0020,O0020,25.5,Yape,paid,2026-06-23 15:13:00
PAY0021,O0021,42.5,Tarjeta,refunded,2026-06-24 16:54:00
PAY0022,O0022,57,Yape,paid,2026-06-25 08:18:00
PAY0023,O0023,37.5,Yape,paid,2026-06-26 10:25:00
PAY0024,O0024,21,Plin,paid,2026-06-26 11:46:00
PAY0025,O0025,19.5,Yape,paid,2026-06-27 09:57:00
PAY0026,O0026,77,Yape,paid,2026-06-27 13:00:00
PAY0027,O0027,132,Efectivo,paid,2026-06-27 13:37:00
PAY0028,O0028,28,Efectivo,paid,2026-06-27 19:41:00
PAY0029,O0029,47.5,Plin,paid,2026-06-28 17:14:00
PAY0030,O0030,27,Tarjeta,paid,2026-06-29 08:06:00
PAY0031,O0031,51.5,Yape,paid,2026-06-29 18:33:00
PAY0032,O0032,8.5,Tarjeta,paid,2026-06-29 20:51:00
PAY0033,O0033,44,Tarjeta,paid,2026-06-30 18:14:00
PAY0034,O0034,34.5,Yape,paid,2026-07-01 08:52:00
PAY0035,O0035,95,Efectivo,paid,2026-07-02 11:34:00
PAY0036,O0036,13,Yape,paid,2026-07-03 08:56:00
PAY0037,O0037,6.5,Yape,refunded,2026-07-03 19:40:00
PAY0038,O0038,36,Tarjeta,paid,2026-07-03 19:32:00
PAY0039,O0039,40.5,Yape,paid,2026-07-04 10:46:00
PAY0040,O0040,28.5,Tarjeta,paid,2026-07-05 12:27:00
PAY0041,O0041,14.5,Efectivo,paid,2026-07-05 15:06:00
PAY0042,O0042,41,Yape,paid,2026-07-06 08:34:00
PAY0043,O0043,27,Yape,paid,2026-07-06 12:46:00
PAY0044,O0044,12,Tarjeta,paid,2026-07-07 14:57:00
PAY0045,O0045,27,Efectivo,paid,2026-07-08 14:47:00
PAY0046,O0046,53.5,Efectivo,paid,2026-07-08 16:28:00
PAY0047,O0047,15,Efectivo,paid,2026-07-09 12:45:00
